作動 (さどう)
寒気 (さむけ)
申年 (さるどし)
三角柱 (さんかくちゅう)
三寒四温 (さんかんしおん)
三界 (さんがい)
三重苦 (さんじゅうく)
算定 (さんてい)
三葉虫 (さんようちゅう)
三流 (さんりゅう)
仕上 (しあが)
仕上が (しあが)
仕上げ (しあげ)
詩歌 (しいか)
仕入れ (しいれ)
仕打 (しうち)
使役 (しえき)
仕送り (しおくり)
歯科 (しか)
歯科医 (しかい)
仕返し (しかえし)
死角 (しかく)
仕方 (しかた)
仕方な (しかたな)
歯学 (しがく)
仕切 (しき)
始期 (しき)
死期 (しき)
式場 (しきじょう)
色相 (しきそう)
色調 (しきちょう)
式部 (しきぶ)
子宮 (しきゅう)
死去 (しきょ)
仕切り (しきり)
始業 (しぎょう)
仕組 (しく)
市区 (しく)
四苦八苦 (しくはっく)
仕草 (しぐさ)
止血 (しけつ)
指向 (しこう)
歯根 (しこん)
死後 (しご)
死語 (しご)
仕事 (しごと)
使者 (ししゃ)
死者 (ししゃ)
死守 (ししゅ)
詩集 (ししゅう)
思秋期 (ししゅうき)
思春期 (ししゅんき)
四重 (しじゅう)
始終 (しじゅう)
詩人 (しじん)
指数 (しすう)
歯石 (しせき)
死線 (しせん)
思想 (しそう)
思想家 (しそうか)
子息 (しそく)
死体 (したい)
下着 (したぎ)
下調べ (したしらべ)
仕立て (したて)
下取り (したどり)
下向き (したむき)
次第 (しだい)
仕出し (しだし)
室温 (しつおん)
指定 (してい)
始点 (してん)
始動 (しどう)
品数 (しなかず)
品切れ (しなぎれ)
品定め (しなさだめ)
品物 (しなもの)
指南 (しなん)
指南番 (しなんばん)
死人 (しにん)
始発 (しはつ)
四半期 (しはんき)
死人 (しびと)
市部 (しぶ)
詩文 (しぶん)
島国 (しまぐに)
仕向 (しむけ)
仕向け (しむけ)
使命 (しめい)
指名 (しめい)
指命 (しめい)
紙面 (しめん)
四面体 (しめんたい)
下期 (しもき)
下半期 (しもはんき)
社員 (しゃいん)
社運 (しゃうん)
社屋 (しゃおく)
社業 (しゃぎょう)
車庫 (しゃこ)
写植 (しゃしょく)
写真 (しゃしん)
写実 (しゃじつ)
写生 (しゃせい)
車速 (しゃそく)
三味 (しゃみ)
三味線 (しゃみせん)
車両 (しゃりょう)
市役所 (しやくしょ)
主意 (しゅい)
集荷 (しゅうか)
集会 (しゅうかい)
終期 (しゅうき)
終局 (しゅうきょく)
終曲 (しゅうきょく)
集金 (しゅうきん)
終業 (しゅうぎょう)
集計 (しゅうけい)
集合 (しゅうごう)
習作 (しゅうさく)
終始 (しゅうし)
終止 (しゅうし)
終身 (しゅうしん)
習字 (しゅうじ)
終日 (しゅうじつ)
終生 (しゅうせい)
終息 (しゅうそく)
習知 (しゅうち)
終着 (しゅうちゃく)
集中 (しゅうちゅう)
終点 (しゅうてん)
終電 (しゅうでん)
秋波 (しゅうは)
集配 (しゅうはい)
終夜 (しゅうや)
集落 (しゅうらく)
宿題 (しゅくだい)
宿直 (しゅくちょく)
宿場 (しゅくば)
宿命 (しゅくめい)
主君 (しゅくん)
主計 (しゅけい)
主語 (しゅご)
首相 (しゅしょう)
主食 (しゅしょく)
主事 (しゅじ)
主人 (しゅじん)
主人公 (しゅじんこう)
取水 (しゅすい)
主体 (しゅたい)
主題 (しゅだい)
酒池肉林 (しゅちにくりん)
出荷 (しゅっか)
出血 (しゅっけつ)
出庫 (しゅっこ)
出向 (しゅっこう)
出所 (しゅっしょ)
出身 (しゅっしん)
出世 (しゅっせ)
出発 (しゅっぱつ)
出品 (しゅっぴん)
出題 (しゅつだい)
出動 (しゅつどう)
首都 (しゅと)
手動 (しゅどう)
主筆 (しゅひつ)
主文 (しゅぶん)
主役 (しゅやく)
主流 (しゅりゅう)
主力 (しゅりょく)
所員 (しょいん)
書院 (しょいん)
消音 (しょうおん)
消化 (しょうか)
消火 (しょうか)
商会 (しょうかい)
小寒 (しょうかん)
商学部 (しょうがくぶ)
消去 (しょうきょ)
商業 (しょうぎょう)
商工 (しょうこう)
消光 (しょうこう)
商号 (しょうごう)
商才 (しょうさい)
勝算 (しょうさん)
勝者 (しょうしゃ)
商社 (しょうしゃ)
小暑 (しょうしょ)
正真 (しょうしん)
商事 (しょうじ)
商船 (しょうせん)
消息 (しょうそく)
章立て (しょうだて)
商談 (しょうだん)
消長 (しょうちょう)
商店 (しょうてん)
商人 (しょうにん)
商売 (しょうばい)
商品 (しょうひん)
勝負 (しょうぶ)
正味 (しょうみ)
正面 (しょうめん)
生薬 (しょうやく)
商用 (しょうよう)
所感 (しょかん)
所外 (しょがい)
所期 (しょき)
所業 (しょぎょう)
食指 (しょくし)
植字 (しょくじ)
食事 (しょくじ)
植生 (しょくせい)
食品 (しょくひん)
植物 (しょくぶつ)
植毛 (しょくもう)
食物 (しょくもつ)
植林 (しょくりん)
所見 (しょけん)
書庫 (しょこ)
所作 (しょさ)
書式 (しょしき)
書写 (しょしゃ)
所持 (しょじ)
暑中 (しょちゅう)
所長 (しょちょう)
所定 (しょてい)
所内 (しょない)
書面 (しょめん)
書物 (しょもつ)
所有 (しょゆう)
所有地 (しょゆうち)
所用 (しょよう)
仕様 (しよう)
使用 (しよう)
仕様書 (しようしょ)
死力 (しりょく)
白身 (しろみ)
代物 (しろもの)
仕分け (しわけ)
仕業 (しわざ)
深意 (しんい)
真意 (しんい)
真打ち (しんうち)
深遠 (しんえん)
深化 (しんか)
進化 (しんか)
深海 (しんかい)
新開地 (しんかいち)
新館 (しんかん)
神学 (しんがく)
進学 (しんがく)
進級 (しんきゅう)
新曲 (しんきょく)
真空 (しんくう)
新宮 (しんぐう)
心血 (しんけつ)
進行 (しんこう)
新式 (しんしき)
新酒 (しんしゅ)
進取 (しんしゅ)
進出 (しんしゅつ)
新商品 (しんしょうひん)
心身 (しんしん)
新進 (しんしん)
真実 (しんじつ)
身上 (しんじょう)
進上 (しんじょう)
進水 (しんすい)
真正 (しんせい)
神前 (しんぜん)
真相 (しんそう)
親族 (しんぞく)
神体 (しんたい)
身体 (しんたい)
新調 (しんちょう)
深長 (しんちょう)
身長 (しんちょう)
親等 (しんとう)
進度 (しんど)
神童 (しんどう)
進入 (しんにゅう)
新発売 (しんはつばい)
新橋 (しんばし)
心配 (しんぱい)
新品 (しんぴん)
深部 (しんぶ)
神父 (しんぷ)
神木 (しんぼく)
進歩 (しんぽ)
親身 (しんみ)
身命 (しんめい)
進物 (しんもつ)
深夜 (しんや)
真理 (しんり)
新緑 (しんりょく)
進路 (しんろ)
神話 (しんわ)
親和 (しんわ)
寺院 (じいん)
次回 (じかい)
時期 (じき)
次期 (じき)
直筆 (じきひつ)
時局 (じきょく)
事業 (じぎょう)
事業所 (じぎょうしょ)
事業主 (じぎょうぬし)
事業部 (じぎょうぶ)
次兄 (じけい)
自決 (じけつ)
次元 (じげん)
事後 (じご)
次号 (じごう)
地酒 (じざけ)
次子 (じし)
自主 (じしゅ)
自習 (じしゅう)
地所 (じしょ)
次章 (じしょう)
自身 (じしん)
時事 (じじ)
事実 (じじつ)
事実上 (じじつじょう)
自重 (じじゅう)
次女 (じじょ)
自乗 (じじょう)
次数 (じすう)
時世 (じせい)
事前 (じぜん)
時速 (じそく)
自他 (じた)
時短 (じたん)
時代 (じだい)
次代 (じだい)
地代 (じだい)
次長 (じちょう)
自重 (じちょう)
実家 (じっか)
実感 (じっかん)
実兄 (じっけい)
実行 (じっこう)
実根 (じっこん)
実作 (じっさく)
実子 (じっし)
実写 (じっしゃ)
実社会 (じっしゃかい)
実習 (じっしゅう)
実数 (じっすう)
実生活 (じっせいかつ)
実線 (じっせん)
実体 (じったい)
実地 (じっち)
実直 (じっちょく)
実父 (じっぷ)
実業 (じつぎょう)
実業家 (じつぎょうか)
実物 (じつぶつ)
実母 (じつぼ)
実名 (じつめい)
実用 (じつよう)
実力 (じつりょく)
実話 (じつわ)
字面 (じづら)
次点 (じてん)
自転 (じてん)
自転車 (じてんしゃ)
自動 (じどう)
自動車 (じどうしゃ)
自動車道 (じどうしゃどう)
次男 (じなん)
地主 (じぬし)
自発 (じはつ)
自筆 (じひつ)
耳鼻科 (じびか)
持病 (じびょう)
自負 (じふ)
事物 (じぶつ)
地味 (じみ)
地面 (じめん)
自問 (じもん)
弱者 (じゃくしゃ)
重工 (じゅうこう)
重工業 (じゅうこうぎょう)
住所 (じゅうしょ)
重心 (じゅうしん)
重水 (じゅうすい)
十全 (じゅうぜん)
重体 (じゅうたい)
重大 (じゅうだい)
重点 (じゅうてん)
住人 (じゅうにん)
重箱 (じゅうばこ)
重病 (じゅうびょう)
重役 (じゅうやく)
重油 (じゅうゆ)
重力 (じゅうりょく)
受注 (じゅちゅう)
受動 (じゅどう)
受理 (じゅり)
準々決勝 (じゅんじゅんけっしょう)
事由 (じゆう)
自由 (じゆう)
自由業 (じゆうぎょう)
女医 (じょい)
上院 (じょういん)
乗員 (じょういん)
上界 (じょうかい)
乗客 (じょうきゃく)
上級 (じょうきゅう)
乗算 (じょうさん)
乗算 (じょうざん)
乗車 (じょうしゃ)
上申 (じょうしん)
上乗 (じょうじょう)
定数 (じょうすう)
定石 (じょうせき)
乗船 (じょうせん)
上等 (じょうとう)
上半身 (じょうはんしん)
乗馬 (じょうば)
上品 (じょうひん)
上部 (じょうぶ)
定宿 (じょうやど)
乗用 (じょうよう)
乗用車 (じょうようしゃ)
上流 (じょうりゅう)
助言 (じょげん)
助手 (じょしゅ)
助走 (じょそう)
助長 (じょちょう)
助命 (じょめい)
助役 (じょやく)
女流 (じょりゅう)
助力 (じょりょく)
時流 (じりゅう)
自流 (じりゅう)
人員 (じんいん)
神宮 (じんぐう)
神宮 (じんぐう)
人身 (じんしん)
人事 (じんじ)
神社 (じんじゃ)
神通力 (じんつうりき)
人定 (じんてい)
人物 (じんぶつ)
人命 (じんめい)
水泳 (すいえい)
水温 (すいおん)
水球 (すいきゅう)
水銀 (すいぎん)
水死 (すいし)
水深 (すいしん)
水族館 (すいぞくかん)
水平 (すいへい)
水面 (すいめん)
水流 (すいりゅう)
水路 (すいろ)
数式 (すうしき)
数列 (すうれつ)
炭火 (すみび)
図式 (ずしき)
図表 (ずひょう)
図面 (ずめん)
生育 (せいいく)
正員 (せいいん)
生起 (せいき)
整形 (せいけい)
整合 (せいごう)
生死 (せいし)
正式 (せいしき)
正社員 (せいしゃいん)
整数 (せいすう)
生息 (せいそく)
正多角柱 (せいたかくちゅう)
整地 (せいち)
整調 (せいちょう)
正調 (せいちょう)
正反対 (せいはんたい)
正負 (せいふ)
声部 (せいぶ)
西部 (せいぶ)
生物 (せいぶつ)
生命 (せいめい)
整理 (せいり)
整流 (せいりゅう)
整列 (せいれつ)
世界 (せかい)
石化 (せきか)
石炭 (せきたん)
石庭 (せきてい)
赤面 (せきめん)
石油 (せきゆ)
世間 (せけん)
世事 (せじ)
世相 (せそう)
世代 (せだい)
切開 (せっかい)
赤血球 (せっけっきゅう)
切実 (せつじつ)
世話 (せわ)
船員 (せんいん)
船客 (せんきゃく)
千客万来 (せんきゃくばんらい)
先決 (せんけつ)
先取 (せんしゅ)
先勝 (せんしょう)
先進 (せんしん)
先進国 (せんしんこく)
先代 (せんだい)
先着 (せんちゃく)
先発 (せんぱつ)
線表 (せんぴょう)
先負 (せんぶ)
先負 (せんぷ)
先負 (せんまけ)
線路 (せんろ)
全員 (ぜんいん)
全会 (ぜんかい)
全開 (ぜんかい)
全館 (ぜんかん)
