後退 (こうたい)
公団 (こうだん)
講談 (こうだん)
耕地 (こうち)
構築 (こうちく)
工程 (こうてい)
行程 (こうてい)
好適 (こうてき)
好敵手 (こうてきしゅ)
公徳 (こうとく)
講堂 (こうどう)
構内 (こうない)
後任 (こうにん)
効能 (こうのう)
公判 (こうはん)
好評 (こうひょう)
講評 (こうひょう)
公布 (こうふ)
鉱物 (こうぶつ)
後編 (こうへん)
公報 (こうほう)
広報 (こうほう)
好防 (こうぼう)
鉱脈 (こうみゃく)
公務 (こうむ)
公務員 (こうむいん)
工務店 (こうむてん)
効用 (こうよう)
効率 (こうりつ)
高率 (こうりつ)
効率化 (こうりつか)
後略 (こうりゃく)
講料 (こうりょう)
効力 (こうりょく)
講和 (こうわ)
講話 (こうわ)
小枝 (こえだ)
国営 (こくえい)
国益 (こくえき)
国技 (こくぎ)
国際 (こくさい)
国際化 (こくさいか)
国際線 (こくさいせん)
告示 (こくじ)
国情 (こくじょう)
国勢 (こくせい)
国政 (こくせい)
国税 (こくぜい)
国保 (こくほ)
国防 (こくぼう)
国防総省 (こくぼうそうしょう)
国務 (こくむ)
故国 (ここく)
心構え (こころがまえ)
心許な (こころもとな)
個室 (こしつ)
居士 (こじ)
故事 (こじ)
個人 (こじん)
故人 (こじん)
個数 (こすう)
個性 (こせい)
古銭 (こせん)
小銭 (こぜに)
個体 (こたい)
個体差 (こたいさ)
故知 (こち)
国境 (こっきょう)
小判 (こばん)
個別 (こべつ)
根幹 (こんかん)
混血 (こんけつ)
混交 (こんこう)
混合 (こんごう)
混在 (こんざい)
混雑 (こんざつ)
混信 (こんしん)
根性 (こんじょう)
混成 (こんせい)
混戦 (こんせん)
根絶 (こんぜつ)
混然 (こんぜん)
混同 (こんどう)
混入 (こんにゅう)
混迷 (こんめい)
混用 (こんよう)
金輪際 (こんりんざい)
混和 (こんわ)
合格 (ごうかく)
合資 (ごうし)
合資会社 (ごうしがいしゃ)
強情 (ごうじょう)
合弁 (ごうべん)
護衛 (ごえい)
語幹 (ごかん)
護岸 (ごがん)
語句 (ごく)
極貧 (ごくひん)
