純血 (じゅんけつ)
純色 (じゅんしょく)
純真 (じゅんしん)
純情 (じゅんじょう)
純正 (じゅんせい)
純増 (じゅんぞう)
準体言助詞 (じゅんたいげんじょし)
準体助詞 (じゅんたいじょし)
純度 (じゅんど)
純白 (じゅんぱく)
純米 (じゅんまい)
純利 (じゅんり)
純良 (じゅんりょう)
上映 (じょうえい)
城下町 (じょうかまち)
上巻 (じょうかん)
蒸気 (じょうき)
常勤 (じょうきん)
上皇 (じょうこう)
乗降 (じょうこう)
蒸散 (じょうさん)
城主 (じょうしゅ)
成就 (じょうじゅ)
乗除 (じょうじょ)
上層 (じょうそう)
情操 (じょうそう)
上段 (じょうだん)
蒸着 (じょうちゃく)
城内 (じょうない)
上納 (じょうのう)
蒸発 (じょうはつ)
情欲 (じょうよく)
上覧 (じょうらん)
蒸留 (じょうりゅう)
常緑樹 (じょうりょくじゅ)
除外 (じょがい)
除去 (じょきょ)
除光 (じょこう)
除算 (じょさん)
除算 (じょざん)
助詞 (じょし)
助数詞 (じょすうし)
除雪 (じょせつ)
女装 (じょそう)
除草 (じょそう)
除隊 (じょたい)
助動詞 (じょどうし)
序幕 (じょまく)
除幕式 (じょまくしき)
除名 (じょめい)
除夜 (じょや)
女優 (じょゆう)
序論 (じょろん)
自律 (じりつ)
磁力 (じりょく)
持論 (じろん)
仁義 (じんぎ)
人権 (じんけん)
人骨 (じんこつ)
人生論 (じんせいろん)
推移 (すいい)
水域 (すいいき)
垂下 (すいか)
推挙 (すいきょ)
推計 (すいけい)
水源 (すいげん)
推考 (すいこう)
推察 (すいさつ)
推算 (すいさん)
推賞 (すいしょう)
垂心 (すいしん)
推進 (すいしん)
水蒸気 (すいじょうき)
垂線 (すいせん)
水洗 (すいせん)
推測 (すいそく)
垂直 (すいちょく)
推定 (すいてい)
出納 (すいとう)
水難 (すいなん)
推理 (すいり)
推量 (すいりょう)
推力 (すいりょく)
推論 (すいろん)
数詞 (すうし)
数値 (すうち)
空腹 (すきばら)
筋書 (すじがき)
筋書き (すじがき)
筋道 (すじみち)
筋悪 (すじわる)
砂川 (すながわ)
砂地 (すなじ)
砂時計 (すなどけい)
砂場 (すなば)
砂山 (すなやま)
住処 (すみか)
寸劇 (すんげき)
寸志 (すんし)
寸時 (すんじ)
寸前 (すんぜん)
寸断 (すんだん)
寸鉄 (すんてつ)
寸評 (すんぴょう)
寸分 (すんぶん)
寸法 (すんぽう)
寸話 (すんわ)
頭痛 (ずつう)
頭脳 (ずのう)
誠意 (せいい)
盛運 (せいうん)
盛夏 (せいか)
聖歌 (せいか)
聖火 (せいか)
盛会 (せいかい)
盛挙 (せいきょ)
精勤 (せいきん)
盛業 (せいぎょう)
政権 (せいけん)
精鋼 (せいこう)
製鋼 (せいこう)
整骨 (せいこつ)
正誤 (せいご)
制裁 (せいさい)
政策 (せいさく)
星座 (せいざ)
正座 (せいざ)
正視 (せいし)
聖書 (せいしょ)
聖職 (せいしょく)
誠心 (せいしん)
青磁 (せいじ)
誠実 (せいじつ)
聖者 (せいじゃ)
成熟 (せいじゅく)
清純 (せいじゅん)
整除 (せいじょ)
聖水 (せいすい)
正装 (せいそう)
盛装 (せいそう)
生存 (せいぞん)
盛大 (せいだい)
聖地 (せいち)
盛典 (せいてん)
聖典 (せいてん)
政党 (せいとう)
製糖 (せいとう)
聖堂 (せいどう)
成否 (せいひ)
正否 (せいひ)
精密 (せいみつ)
声優 (せいゆう)
性欲 (せいよく)
正論 (せいろん)
背負 (せお)
背泳ぎ (せおよぎ)
背筋 (せすじ)
石灰 (せっかい)
石灰岩 (せっかいがん)
接骨 (せっこつ)
