手当 (てあて)
手数 (てかず)
手書き (てがき)
手形 (てがた)
手紙 (てがみ)
手首 (てくび)
手強 (てごわ)
手数 (てすう)
手近 (てぢか)
手作り (てづくり)
手直し (てなおし)
手引 (てびき)
手引き (てびき)
手間 (てま)
手前 (てまえ)
手回し (てまわし)
手元 (てもと)
手分け (てわけ)
点火 (てんか)
天国 (てんごく)
天才 (てんさい)
点心 (てんしん)
点字 (てんじ)
点数 (てんすう)
点線 (てんせん)
天体 (てんたい)
天地 (てんち)
店長 (てんちょう)
店頭 (てんとう)
店内 (てんない)
天引き (てんびき)
天分 (てんぶん)
天理 (てんり)
出会 (であ)
出歩 (である)
出来 (でき)
出来合い (できあい)
出来上が (できあが)
出来高 (できだか)
弟子 (でし)
出直 (でなお)
出番 (でばん)
出回 (でまわ)
出店 (でみせ)
田園 (でんえん)
電気 (でんき)
電子 (でんし)
電車 (でんしゃ)
電線 (でんせん)
電池 (でんち)
電文 (でんぶん)
電力 (でんりょく)
電話 (でんわ)
頭角 (とうかく)
当月 (とうげつ)
東西 (とうざい)
当社 (とうしゃ)
当時 (とうじ)
当日 (とうじつ)
当地 (とうち)
当直 (とうちょく)
当店 (とうてん)
読点 (とうてん)
東南 (とうなん)
当人 (とうにん)
当年 (とうねん)
当番 (とうばん)
当分 (とうぶん)
東方 (とうほう)
当方 (とうほう)
東北 (とうほく)
頭目 (とうもく)
当用 (とうよう)
遠出 (とおで)
遠回し (とおまわし)
遠回し (とおまわし)
遠回り (とおまわり)
遠回り (とおまわり)
遠山 (とおやま)
戸口 (とぐち)
時計 (とけい)
年明け (としあけ)
図書 (としょ)
刀自 (とじ)
土地 (とち)
友引 (ともびき)
鳥目 (とりめ)
同一 (どういつ)
同音 (どうおん)
同形 (どうけい)
同月 (どうげつ)
同行 (どうこう)
同国 (どうこく)
同市 (どうし)
同室 (どうしつ)
同社 (どうしゃ)
同色 (どうしょく)
同心 (どうしん)
同心円 (どうしんえん)
同時 (どうじ)
同日 (どうじつ)
同上 (どうじょう)
道場 (どうじょう)
同人 (どうじん)
同数 (どうすう)
同声 (どうせい)
同地 (どうち)
道中 (どうちゅう)
同点 (どうてん)
道内 (どうない)
同年 (どうねん)
同名 (どうめい)
同友 (どうゆう)
道楽 (どうらく)
道理 (どうり)
土方 (どかた)
読書 (どくしょ)
読本 (どくほん)
時計 (どけい)
土台 (どだい)
土間 (どま)
土曜 (どよう)
土用 (どよう)
土曜日 (どようび)
内科 (ないか)
内角 (ないかく)
内外 (ないがい)
内国 (ないこく)
内心 (ないしん)
内親王 (ないしんのう)
内声 (ないせい)
内線 (ないせん)
内地 (ないち)
内力 (ないりょく)
中間 (なかま)
長雨 (ながあめ)
長生き (ながいき)
長月 (ながつき)
長年 (ながねん)
長話 (ながばなし)
長引 (ながび)
名高 (なだか)
夏場 (なつば)
夏休み (なつやすみ)
夏山 (なつやま)
何気な (なにげな)
何分 (なにぶん)
名前 (なまえ)
生首 (なまくび)
南下 (なんか)
何回 (なんかい)
南海 (なんかい)
南国 (なんごく)
何時 (なんじ)
南西 (なんせい)
何台 (なんだい)
南東 (なんとう)
何日 (なんにち)
何人 (なんにん)
何年 (なんねん)
何人 (なんぴと)
何分 (なんぷん)
南北 (なんぼく)
南方 (なんぽう)
肉牛 (にくぎゅう)
肉食 (にくしょく)
肉親 (にくしん)
肉声 (にくせい)
肉体 (にくたい)
二元 (にげん)
西風 (にしかぜ)
西口 (にしぐち)
西日 (にしび)
日時 (にちじ)
日夜 (にちや)
日曜 (にちよう)
日曜日 (にちようび)
日記 (にっき)
日計 (にっけい)
日光 (にっこう)
日食 (にっしょく)
日数 (にっすう)
日直 (にっちょく)
日当 (にっとう)
二分 (にぶん)
日本刀 (にほんとう)
日本晴れ (にほんばれ)
入園 (にゅうえん)
入会 (にゅうかい)
入会金 (にゅうかいきん)
入国 (にゅうこく)
入室 (にゅうしつ)
入社 (にゅうしゃ)
入場 (にゅうじょう)
入電 (にゅうでん)
入門 (にゅうもん)
入用 (にゅうよう)
人形 (にんぎょう)
人間 (にんげん)
人数 (にんずう)
音色 (ねいろ)
年間 (ねんかん)
年少 (ねんしょう)
年数 (ねんすう)
年長 (ねんちょう)
年頭 (ねんとう)
年内 (ねんない)
年来 (ねんらい)
野天 (のてん)
野中 (のなか)
野原 (のはら)
野山 (のやま)
白紙 (はくし)
白書 (はくしょ)
白色 (はくしょく)
白昼 (はくちゅう)
白鳥 (はくちょう)
白米 (はくまい)
方船 (はこぶね)
八分 (はちぶ)
八方 (はっぽう)
話合い (はなしあい)
花園 (はなぞの)
花時計 (はなどけい)
花道 (はなみち)
母親 (ははおや)
羽目 (はめ)
早馬 (はやうま)
早合点 (はやがてん)
春休み (はるやすみ)
半円 (はんえん)
半角 (はんかく)
半紙 (はんし)
半数 (はんすう)
半月 (はんつき)
半時 (はんとき)
半年 (はんとし)
半日 (はんにち)
半分 (はんぶん)
場合 (ばあい)
買春 (ばいしゅん)
売春 (ばいしゅん)
売店 (ばいてん)
売買 (ばいばい)
売名 (ばいめい)
場数 (ばかず)
馬車 (ばしゃ)
馬場 (ばば)
