首席 (しゅせき)
種族 (しゅぞく)
出欠 (しゅっけつ)
出航 (しゅっこう)
出産 (しゅっさん)
出席 (しゅっせき)
出席者 (しゅっせきしゃ)
出典 (しゅってん)
出費 (しゅっぴ)
出願 (しゅつがん)
出漁 (しゅつりょう)
取得 (しゅとく)
種皮 (しゅひ)
主夫 (しゅふ)
首府 (しゅふ)
種別 (しゅべつ)
手法 (しゅほう)
種目 (しゅもく)
主要 (しゅよう)
種類 (しゅるい)
春季 (しゅんき)
照会 (しょうかい)
消極 (しょうきょく)
賞金 (しょうきん)
象形 (しょうけい)
焼結 (しょうけつ)
小康 (しょうこう)
照合 (しょうごう)
小差 (しょうさ)
消散 (しょうさん)
焼死 (しょうし)
笑止 (しょうし)
消失 (しょうしつ)
焼失 (しょうしつ)
焼身 (しょうしん)
小節 (しょうせつ)
小説 (しょうせつ)
章節 (しょうせつ)
小説家 (しょうせつか)
小隊 (しょうたい)
松竹梅 (しょうちくばい)
小腸 (しょうちょう)
消灯 (しょうとう)
照度 (しょうど)
消毒 (しょうどく)
小児 (しょうに)
正念場 (しょうねんば)
勝敗 (しょうはい)
消費 (しょうひ)
消費者 (しょうひしゃ)
商標 (しょうひょう)
賞品 (しょうひん)
賞美 (しょうび)
正札 (しょうふだ)
小便 (しょうべん)
商法 (しょうほう)
小満 (しょうまん)
賞味 (しょうみ)
照明 (しょうめい)
勝利 (しょうり)
小量 (しょうりょう)
少量 (しょうりょう)
省力 (しょうりょく)
省令 (しょうれい)
唱和 (しょうわ)
初夏 (しょか)
初会 (しょかい)
初回 (しょかい)
所管 (しょかん)
初期 (しょき)
初級 (しょきゅう)
食塩 (しょくえん)
食中毒 (しょくちゅうどく)
食堂 (しょくどう)
食費 (しょくひ)
植民地 (しょくみんち)
食料 (しょくりょう)
食料品 (しょくりょうひん)
初見 (しょけん)
初校 (しょこう)
所産 (しょさん)
初秋 (しょしゅう)
初出 (しょしゅつ)
初春 (しょしゅん)
初心 (しょしん)
所信 (しょしん)
書信 (しょしん)
初心者 (しょしんしゃ)
初速 (しょそく)
所帯 (しょたい)
初対面 (しょたいめん)
初代 (しょだい)
食器 (しょっき)
初手 (しょて)
初冬 (しょとう)
初等 (しょとう)
初頭 (しょとう)
所得 (しょとく)
初日 (しょにち)
初年度 (しょねんど)
初歩 (しょほ)
所望 (しょもう)
所要 (しょよう)
書類 (しょるい)
初老 (しょろう)
小便 (しょんべん)
試用 (しよう)
白玉粉 (しらたまこ)
不知火 (しらぬい)
史料 (しりょう)
思量 (しりょう)
試料 (しりょう)
司令 (しれい)
指令 (しれい)
試練 (しれん)
親愛 (しんあい)
新案 (しんあん)
臣下 (しんか)
新型 (しんがた)
心機 (しんき)
信教 (しんきょう)
新記録 (しんきろく)
信金 (しんきん)
真空管 (しんくうかん)
進軍 (しんぐん)
親好 (しんこう)
申告 (しんこく)
親告 (しんこく)
信号 (しんごう)
新札 (しんさつ)
新参 (しんざん)
新種 (しんしゅ)
信者 (しんじゃ)
信心 (しんじん)
新生児 (しんせいじ)
新説 (しんせつ)
心底 (しんそこ)
新卒 (しんそつ)
心的 (しんてき)
信念 (しんねん)
心不全 (しんふぜん)
身辺 (しんぺん)
信望 (しんぼう)
新法 (しんぽう)
新芽 (しんめ)
信用 (しんよう)
親類 (しんるい)
心労 (しんろう)
自愛 (じあい)
辞意 (じい)
自覚 (じかく)
次官 (じかん)
時間帯 (じかんたい)
地固め (じがため)
時機 (じき)
直参 (じきさん)
時給 (じきゅう)
自給 (じきゅう)
辞去 (じきょ)
時候 (じこう)
自業自得 (じごうじとく)
時差 (じさ)
自殺 (じさつ)
持参 (じさん)
自失 (じしつ)
字種 (じしゅ)
辞書 (じしょ)
事象 (じしょう)
自信 (じしん)
耳順 (じじゅん)
次席 (じせき)
自席 (じせき)
